time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1766864088999837000,28.8458369140625,129.53540294244885,0.3080157138847384,7.258974518679697,42.29115775975074,158.94540278986096,209.17966498510324,4.748651530192174,4.029364438188078,-71.8041219627553,5.659999847409875
1766864089999829500,29.84582958984375,132.57770007196814,0.37000000476823913,7.258974518679491,42.29110311783815,161.98769991938025,208.82810379517912,4.748651530194584,6.980194360649028,-71.80416033282904,5.389999866483666
1766864090999822000,30.845822021484373,132.11322253383696,0.7499999999997314,11.274833552125736,42.29105982531547,161.52322238124907,208.82810379521501,4.748651530193737,6.122282168070878,-71.80419352513843,5.389999866483665
1766864091999815000,31.84581494140625,131.86456523183733,0.9900000095364005,15.135505972731512,42.2910293465358,161.27456507924944,209.53122868598527,4.748651530194122,6.607096358622016,-71.80421782736585,5.300000190733029
1766864092999807200,32.84580712890625,131.35083243157715,0.9900000095363836,14.773146791588362,42.29098835208534,160.76083227898926,210.23435269182542,4.748651530193843,6.204051914039218,-71.80425232952275,5.42999982833665
1766864093999799800,33.8457998046875,129.91186013352126,1.2963799147051391,19.233836783795187,42.290953093488184,159.32185998093337,211.9642897262382,2.7614199456109016,3,-71.8042823526182,5.461397935247397
1766864094999792600,34.845792724609375,130.0128008108586,1.2953445296229815,20.288445988383803,42.29091681922945,159.42280065827072,215.53049002524028,1.999999973903401,3,-71.80431906368189,5.173377093053993
1766864095999786000,35.84578588867188,130.62107618432492,1.2885643888649787,22.781948556408082,42.29089658349897,160.03107603173703,218.11484261011836,2.2391786794652693,3,-71.80435417586877,4.583022734133026
1766864096999778600,36.84577856445313,130.88120503537357,1.2827591110035304,24.27209534951453,42.29087824156143,160.29120488278568,217.63573763252424,2.6926240314604764,3,-71.80438063725715,4.282305237953442
1766864097999770000,37.84577001953125,130.93422472756356,1.287159217435093,31.140530767064103,42.290866873257684,160.34422457497567,218.7244640150752,2.6920108884311422,3,-71.80440290694992,3.349215197104328
1766864098999764000,38.84576391601563,131.28814409393817,1.2837434780587653,42.474862421351496,42.290857621950124,160.69814394135028,219.19444225450485,2.673523701194845,3,-71.80441215169425,2.448947588364874
1766864099999755800,39.845755859375,131.29478911310434,1.2819074874046703,59.02036542397777,42.290848675033786,160.70478896051645,217.25854371923523,2.561269754042413,3,-71.80441918153049,1.7598953751256579
1766864100999748400,40.845748291015624,131.3644099002704,1.2868795378431634,83.2510305545909,42.29084367503418,160.7744097476825,218.9530634421417,2.7009753318327414,3,-71.80442501190853,1.2525065457190656
1766864101999740400,41.84574047851562,131.57696946058422,1.279865587516363,67.45876270043014,42.29083466047787,160.98696930799633,216.0536304488663,2.7075804563142074,3,-71.8044361186608,1.5372411716785421
1766864102999733500,42.8457333984375,131.99678446445614,1.2734117863889012,68.62946005724874,42.29082146842007,161.40678431186825,214.04988582713398,3.038394790719717,3,-71.80444978360623,1.5032048895983052
